Date,Land,Ride,Est. Wait Time,Entered Queue,Entered Ride,Actual Wait Time,Used Fastpass,Notes
8/30/25,New Orleans Square,Pirates of the Caribbean,30,10:50 AM,11:03 AM,13,False,
8/30/25,Frontierland,Big Thunder,30,11:23 AM,11:46 AM,23,False,
8/30/25,Adventureland,Jungle Cruise,20,1:12 PM,1:26 PM,14,False,
8/30/25,Tomorrowland,Buzz Lightyear,15,1:35 PM,1:43 PM,8,False,
8/30/25,Tomorrowland,Autopia,5,1:54 PM,2:02 PM,8,False,
8/30/25,Tomorrowland,Finding Nemo,10,2:18 PM,2:35 PM,17,False,
8/30/25,Tomorrowland,Space Mountain,35,2:57 PM,3:05 PM,8,True,
8/30/25,"Main Street, U.S.A.",Railroad,5,3:14 PM,3:26 PM,12,False,
8/30/25,Adventureland,Indiana Jones,40,7:44 PM,8:07 PM,23,True,
8/30/25,Frontierland,Big Thunder,30,8:21 PM,8:29 PM,8,True,
8/30/25,Tomorrowland,Buzz Lightyear,10,9:36 PM,9:39 PM,3,True,
8/30/25,Fantasyland,Small World,10,10:10 PM,10:16 PM,6,True,
8/30/25,Fantasyland,Mad Tea Party,5,10:38 PM,10:40 PM,2,False,
8/30/25,Fantasyland,Mr. Toad's Wild Ride,10,10:44 PM,10:44 PM,0,False,broke down (dnf)
8/30/25,Fantasyland,Dumbo,5,10:53 PM,10:58 PM,5,False,
8/30/25,Fantasyland,Pinocchio,5,11:03 PM,11:05 PM,2,False,
8/30/25,Fantasyland,Snow White,10,11:09 PM,11:15 PM,6,False,
8/30/25,New Orleans Square,Haunted Mansion,50,11:28 PM,11:42 PM,14,True,
8/31/25,Cars Land,Junkyard Jamboree,10,8:53 AM,9:01 AM,8,False,
8/31/25,Cars Land,Luigi's,10,9:07 AM,9:23 AM,16,False,
8/31/25,Paradise Gardens Park,The Little Mermaid,10,9:31 AM,9:36 AM,5,False,
8/31/25,Paradise Gardens Park,Golden Zephyr,5,9:46 AM,9:48 AM,2,False,
8/31/25,Pixar Pier,Emotional Whirlwind,10,9:55 AM,10:07 AM,12,False,
8/31/25,Pixar Pier,Pal-A-Round,15,10:12 AM,10:31 AM,19,False,
8/31/25,Avenger's Campus,Guardians of the Galaxy,40,10:54 AM,11:05 AM,11,True,
8/31/25,Pixar Pier,Toy Story Midway Mania,55,1:26 PM,1:38 PM,12,True,
8/31/25,Pixar Pier,Critter Carrousel,5,1:48 PM,1:52 PM,4,False,
8/31/25,Avenger's Campus,Monsters After Dark,55,5:34 PM,5:52 PM,18,True,
8/31/25,Bayou Country,Winnie the Pooh,10,6:38 PM,6:50 PM,12,False,
8/31/25,New Orleans Square,Pirates of the Caribbean,15,7:01 PM,7:22 PM,21,False,
9/1/25,Pixar Pier,Incredicoaster,5,8:05 AM,8:15 AM,10,False,Rope Drop (no posted time)
9/1/25,Paradise Gardens Park,Goofy's Sky School,5,8:26 AM,8:28 AM,2,False,
9/1/25,Grizzly Peak,Soarin' Around the World,30,9:12 AM,9:20 AM,8,True,
9/1/25,Hollywood Land,"Monsters, Inc",20,9:40 AM,9:48 AM,8,False,Buddy pass
9/1/25,Hollywood Land,Mickey's PhilharMagic,10,9:54 AM,10:00 AM,6,False,
9/1/25,Pixar Pier,Incredicoaster,15,10:25 AM,10:37 AM,12,False,
9/1/25,Pixar Pier,Toy Story Midway Mania,35,10:45 AM,11:08 AM,23,False,
9/1/25,Paradise Gardens Park,Silly Symphony Swings,5,11:22 AM,11:27 AM,5,False,
9/1/25,Paradise Gardens Park,Jumpin' Jellyfish,5,11:32 AM,11:35 AM,3,False,
9/1/25,Avenger's Campus,Guardians of the Galaxy,50,12:11 PM,12:23 PM,12,True,
9/1/25,Avenger's Campus,Monsters After Dark,40,4:37 PM,4:56 PM,19,True,
9/1/25,Fantasyland,Mr. Toad's Wild Ride,10,5:26 PM,5:34 PM,8,False,
9/1/25,Mickey's Toontown,Runaway Railway,40,5:41 PM,5:51 PM,10,True,
9/1/25,Star Wars: Galaxy's Edge,Rise of the Resistance,55,6:19 PM,6:36 PM,17,True,
9/1/25,Bayou Country,Tiana's,40,6:57 PM,7:04 PM,7,True,
9/1/25,Tomorrowland,Space Mountain,40,8:22 PM,8:29 PM,7,True,
9/1/25,Adventureland,Indiana Jones,15,9:00 PM,9:12 PM,12,True,
9/1/25,New Orleans Square,Pirates of the Caribbean,5,9:22 PM,9:25 PM,3,False,
