Date,Time,Temperature (ºF),Condition,Wind,Humidity,Barometer,Visibility
8/30/25,12:53 AM,72,Clear.,No wind,55%,"29.93 ""Hg",10 mi
8/30/25,1:53 AM,72,Clear.,No wind,53%,"29.92 ""Hg",10 mi
8/30/25,2:53 AM,70,Clear.,No wind,57%,"29.92 ""Hg",10 mi
8/30/25,3:53 AM,71,Clear.,No wind,49%,"29.91 ""Hg",10 mi
8/30/25,4:53 AM,70,Clear.,No wind,46%,"29.92 ""Hg",10 mi
8/30/25,5:53 AM,68,Clear.,No wind,57%,"29.92 ""Hg",10 mi
8/30/25,6:53 AM,68,Sunny.,No wind,63%,"29.92 ""Hg",10 mi
8/30/25,7:53 AM,72,Sunny.,No wind,55%,"29.93 ""Hg",10 mi
8/30/25,8:53 AM,77,Sunny.,No wind,47%,"29.94 ""Hg",10 mi
8/30/25,9:53 AM,82,Sunny.,No wind,34%,"29.93 ""Hg",10 mi
8/30/25,10:53 AM,86,Sunny.,No wind,28%,"29.93 ""Hg",10 mi
8/30/25,11:53 AM,90,Sunny.,5 mph,29%,"29.90 ""Hg",10 mi
8/30/25,12:53 PM,92,Sunny.,9 mph,30%,"29.88 ""Hg",10 mi
8/30/25,1:53 PM,90,Sunny.,10 mph,26%,"29.87 ""Hg",10 mi
8/30/25,2:53 PM,91,Sunny.,8 mph,25%,"29.85 ""Hg",10 mi
8/30/25,3:53 PM,93,Sunny.,5 mph,25%,"29.83 ""Hg",10 mi
8/30/25,4:53 PM,93,Sunny.,6 mph,25%,"29.83 ""Hg",10 mi
8/30/25,5:53 PM,90,Sunny.,3 mph,28%,"29.82 ""Hg",10 mi
8/30/25,6:53 PM,87,Sunny.,7 mph,33%,"29.83 ""Hg",10 mi
8/30/25,7:53 PM,82,Clear.,7 mph,33%,"29.85 ""Hg",10 mi
8/30/25,8:53 PM,80,Clear.,3 mph,35%,"29.86 ""Hg",10 mi
8/30/25,9:53 PM,78,Clear.,3 mph,36%,"29.88 ""Hg",10 mi
8/30/25,10:53 PM,76,Clear.,No wind,52%,"29.88 ""Hg",10 mi
8/30/25,11:53 PM,75,Clear.,No wind,60%,"29.88 ""Hg",10 mi
8/31/25,12:53 AM,74,Mild.,No wind,71%,"29.88 ""Hg",10 mi
8/31/25,1:53 AM,73,Clear.,No wind,76%,"29.88 ""Hg",10 mi
8/31/25,2:53 AM,72,Clear.,No wind,73%,"29.88 ""Hg",10 mi
8/31/25,3:53 AM,71,Clear.,No wind,73%,"29.88 ""Hg",10 mi
8/31/25,4:53 AM,70,Clear.,No wind,79%,"29.88 ""Hg",10 mi
8/31/25,5:53 AM,70,Clear.,No wind,66%,"29.89 ""Hg",10 mi
8/31/25,6:53 AM,69,Sunny.,No wind,79%,"29.90 ""Hg",10 mi
8/31/25,7:53 AM,72,Sunny.,No wind,76%,"29.91 ""Hg",10 mi
8/31/25,8:53 AM,75,Sunny.,No wind,71%,"29.92 ""Hg",10 mi
8/31/25,9:53 AM,80,Sunny.,No wind,56%,"29.92 ""Hg",10 mi
8/31/25,10:53 AM,83,Sunny.,No wind,48%,"29.90 ""Hg",10 mi
8/31/25,11:53 AM,89,Sunny.,3 mph,38%,"29.89 ""Hg",10 mi
8/31/25,12:53 PM,92,Sunny.,5 mph,35%,"29.87 ""Hg",10 mi
8/31/25,1:53 PM,92,Sunny.,8 mph,37%,"29.85 ""Hg",10 mi
8/31/25,2:53 PM,94,Sunny.,12 mph,32%,"29.83 ""Hg",10 mi
8/31/25,3:53 PM,93,Sunny.,8 mph,34%,"29.82 ""Hg",10 mi
8/31/25,4:53 PM,90,Sunny.,7 mph,31%,"29.82 ""Hg",10 mi
8/31/25,5:53 PM,86,Sunny.,8 mph,39%,"29.83 ""Hg",10 mi
8/31/25,6:53 PM,82,Sunny.,6 mph,46%,"29.84 ""Hg",10 mi
8/31/25,7:53 PM,79,Clear.,5 mph,52%,"29.84 ""Hg",10 mi
8/31/25,8:53 PM,76,Clear.,3 mph,58%,"29.86 ""Hg",10 mi
8/31/25,9:53 PM,75,Clear.,3 mph,58%,"29.88 ""Hg",10 mi
8/31/25,10:53 PM,74,Clear.,5 mph,67%,"29.88 ""Hg",10 mi
8/31/25,11:53 PM,73,Clear.,3 mph,71%,"29.88 ""Hg",10 mi
9/1/25,12:53 AM,72,Clear.,No wind,71%,"29.89 ""Hg",10 mi
9/1/25,1:53 AM,72,Clear.,No wind,73%,"29.88 ""Hg",10 mi
9/1/25,2:53 AM,71,Clear.,No wind,76%,"29.89 ""Hg",10 mi
9/1/25,3:53 AM,70,Clear.,No wind,79%,"29.89 ""Hg",10 mi
9/1/25,4:53 AM,70,Clear.,No wind,81%,"29.89 ""Hg",10 mi
9/1/25,5:53 AM,70,Clear.,No wind,81%,"29.90 ""Hg",10 mi
9/1/25,6:53 AM,69,Sunny.,No wind,81%,"29.91 ""Hg",10 mi
9/1/25,7:53 AM,71,Sunny.,No wind,84%,"29.92 ""Hg",8 mi
9/1/25,8:53 AM,74,Sunny.,No wind,74%,"29.91 ""Hg",10 mi
9/1/25,9:53 AM,78,Sunny.,No wind,62%,"29.90 ""Hg",10 mi
9/1/25,10:53 AM,84,Sunny.,5 mph,49%,"29.90 ""Hg",10 mi
9/1/25,11:53 AM,89,Sunny.,5 mph,42%,"29.89 ""Hg",10 mi
9/1/25,12:53 PM,86,Sunny.,12 mph,49%,"29.89 ""Hg",10 mi
9/1/25,1:53 PM,87,Sunny.,7 mph,45%,"29.88 ""Hg",10 mi
9/1/25,2:53 PM,89,Sunny.,6 mph,42%,"29.86 ""Hg",10 mi
9/1/25,3:53 PM,90,Sunny.,7 mph,38%,"29.85 ""Hg",10 mi
9/1/25,4:53 PM,87,Sunny.,7 mph,40%,"29.84 ""Hg",10 mi
9/1/25,5:53 PM,86,Sunny.,6 mph,43%,"29.84 ""Hg",10 mi
9/1/25,6:53 PM,81,Sunny.,7 mph,47%,"29.84 ""Hg",10 mi
9/1/25,7:53 PM,76,Clear.,5 mph,58%,"29.85 ""Hg",10 mi
9/1/25,8:53 PM,75,Clear.,No wind,62%,"29.88 ""Hg",10 mi
9/1/25,9:53 PM,75,Clear.,3 mph,62%,"29.89 ""Hg",10 mi
9/1/25,10:53 PM,73,Clear.,3 mph,71%,"29.90 ""Hg",10 mi
9/1/25,11:53 PM,73,Clear.,No wind,71%,"29.90 ""Hg",10 mi
