Date,Invoice #,Starting Milage,Ending Milage,Gas Price,Gallons,Cost,MPG,Mi. Driven,Station
3/5/23,84935,92940,93236,4.419,10.643,47.03,27.81,296,Costco
3/13/23,69375,93236,93540,4.439,10.998,48.82,27.64,304,Costco
3/19/23,84693,93540,93804,4.399,9.653,42.46,27.35,264,Costco
3/26/23,71968,93804,94129,4.159,11.273,46.88,28.83,325,Costco
4/4/23,88066,94129,94418,4.199,10.414,43.73,27.75,289,Costco
4/16/23,89842,94418,94782,4.299,13.268,57.04,27.43,364,Costco
4/25/23,77836,94782,95116,4.299,11.902,51.17,28.06,334,Costco
5/4/23,79654,95116,95433,4.299,12.247,52.65,25.88,317,Costco
5/13/23,96068,95433,95757,4.189,12.465,52.22,25.99,324,Costco
5/26/23,98915,95757,96122,4.259,12.320,52.47,29.63,365,Costco
6/3/23,3643,96122,96456,4.199,11.910,50.01,28.04,334,Costco
6/13/23,87594,96456,96806,4.299,12.161,52.28,28.78,350,Costco
6/23/23,89485,96806,97143,4.299,11.727,50.41,28.74,337,Costco
7/1/23,82907,97143,97424,4.259,10.855,46.23,25.89,281,Costco
7/12/23,84836,97424,97783,3.999,13.191,52.75,27.22,359,Costco
7/22/23,10218,97783,98118,4.099,13.352,54.73,25.09,335,Costco
7/30/23,11115,98118,98426,4.199,11.387,47.81,27.05,308,Costco
8/7/23,8180,98426,98724,4.219,10.770,45.44,27.67,298,Costco
8/15/23,15163,98724,99011,4.369,10.271,44.87,27.94,287,Costco
8/24/23,16958,99011,99220,4.499,8.107,36.47,25.78,209,Costco
9/2/23,88520,99220,99592,4.559,12.720,57.99,29.25,372,Costco
9/9/23,89820,99592,99986,4.559,14.231,65.28,27.69,394,Costco
9/17/23,91300,99986,100302,4.799,12.179,58.45,25.95,316,Costco
9/23/23,17226,100302,100551,4.999,10.156,50.77,24.52,249,Costco
9/30/23,24768,100551,100865,5.059,11.719,59.29,26.79,314,Costco
10/9/23,20678,100865,101198,4.659,12.519,58.33,26.60,333,Costco
10/17/23,97287,101198,101519,4.599,11.911,54.78,26.95,321,Costco
10/24/23,13894,101519,101812,4.599,11.501,52.89,25.48,293,Costco
10/31/23,15338,101812,102093,4.399,10.432,45.89,26.94,281,Costco
11/8/23,16956,102093,102443,4.159,12.105,50.34,28.91,350,Costco
11/19/23,19082,102443,102770,4.159,11.313,47.05,28.90,327,Costco
11/27/23,4759,102770,103056,3.999,10.170,40.67,28.12,286,Costco
12/5/23,37894,103056,103391,3.879,12.123,47.03,27.63,335,Costco
12/14/23,23721,103391,103696,3.699,10.310,38.14,29.58,305,Costco
12/28/23,36108,103696,104210,3.729,18.326,72.97,28.05,514,Costco
1/9/24,56198,104210,104495,3.966,9.742,38.64,29.25,285,Costco
1/19/24,65346,104495,104824,3.659,12.044,44.07,27.32,329,Costco
1/28/24,51703,104824,105169,3.629,11.741,42.61,29.38,345,Costco
2/5/24,23632,105169,105448,3.759,10.407,39.12,26.81,279,Costco
2/15/24,18307,105448,105770,3.859,11.931,46.04,26.99,322,Costco
2/25/24,20066,105770,106085,3.879,11.729,45.50,26.86,315,Costco
3/5/24,21499,106085,106442,3.999,12.417,49.66,28.75,357,Costco
3/19/24,57917,106442,106739,4.159,10.520,43.75,28.23,297,Costco
3/27/24,42699,106739,107040,4.199,11.211,47.07,26.85,301,Costco
4/4/24,62552,107040,107323,4.499,10.412,46.84,27.18,283,Costco
4/18/24,29628,107323,107635,4.699,12.527,58.86,24.91,312,Costco
4/28/24,86933,107635,107935,4.599,10.592,48.71,28.32,300,Costco
5/10/24,22216,107935,108231,4.349,11.476,49.91,25.79,296,Costco
5/20/24,54028,108231,108522,4.299,10.906,46.88,26.68,291,Costco
6/2/24,66286,108522,108850,4.249,12.596,54.34,26.04,328,Costco
6/10/24,57833,108850,109141,4.199,10.887,45.71,26.73,291,Costco
6/20/24,49450,109141,109423,3.999,11.729,46.90,24.04,282,Costco
